CANDIDATE_ID,COMMITTEE_ID,COMMITTEE_TYPE
H2OH09031,C00154625,H
H2OH14064,C00527457,H
H2OH03125,C00507368,H
H4OH10167,C00565622,H
H6OH16136,C00607671,H
H6OH12127,C00615518,H
H2OH15095,C00553552,H
H4OH14110,C00556720,H
H6OH07127,C00589085,H
H6OH08315,C00600718,H
H6OH01096,C00608133,H
H0OH15099,C00565721,H
H4OH14102,C00538637,H
H6OH08182,C00589333,H
H4OH04046,C00560847,H
H6OH07119,C00572149,H
H6OH08141,C00588376,H
H6OH11160,C00612697,H
H6OH09099,C00589986,H
H6OH06152,C00613273,H
H2OH09122,C00504282,H
