STATE_ABBREVIATION,D,INCUMBENT,CANDIDATE_NAME,CANDIDATE_ID,PARTY,PRIMARY_VOTES,PRIMARY_%,GENERAL_VOTES,GENERAL_%,GE_WINNER_INDICATOR,COMMITTEE_ID,COMMITTEE_TYPE
NJ,01,1,"Norcross, Donald W.",H4NJ01084,D,56753.0,0.702919283122159,183231.0,0.5998271532999643,1,C00558320,H
MI,08,1,"Bishop, Mike",H4MI08135,R,56424.0,1.0,205629.0,0.5603458612195069,1,C00561001,H
MO,01,1,"Clay, Lacy ",H0MO01066,D,56139.0,0.6264115152867663,236993.0,0.7546970932158051,1,C00346080,H
CO,01,1,"DeGette, Diana",H6CO01141,D,55925.0,0.8644408377772625,257254.0,0.6787059804345761,1,C00311639,H
MI,03,1,"Amash, Justin",H0MI03126,R,55889.0,1.0,203545.0,0.5945263096402962,1,C00476291,H
GA,02,1,"Bishop, Sanford",H2GA02031,D,55880.0,1.0,148543.0,0.6122984843301086,1,C00266940,H
OR,04,0,"Robinson, Art",H0OR04081,R,55557.0,0.672993991665859,157743.0,0.39676986075338055,0,C00481341,H
MI,14,1,"Lawrence, Brenda L.",H2MI14111,D,55544.0,0.8737867132317083,244135.0,0.7850656324966074,1,C00552588,H
CA,39,0,"Murdock, Brett ",H6CA39137,D,55520.0,0.395005513855786,112679.0,0.42769570630389897,0,C00588699,H
TX,06,1,"Barton, Joe",H4TX06117,R,55285.0,0.6864546730074376,159444.0,0.5834113927755986,1,C00195065,H
WI,04,1,"Moore, Gwen S.",H4WI04183,D,55256.0,0.8449317246968515,220181.0,0.7674245143930654,1,C00397505,H
MI,12,1,"Dingell, Debbie",H4MI12079,D,55046.0,1.0,211378.0,0.6433819724723171,1,C00558213,H
CA,32,1,"Napolitano, Grace F. ",H8CA34068,D,54987.0,0.5140557368160273,114926.0,0.6157431715654234,1,C00334706,H
KS,02,1,"Jenkins, Lynn",H8KS02090,R,54958.0,1.0,181228.0,0.6093725306908854,1,C00433730,H
FL,16,1,"Buchanan, Vern",H6FL13148,R,53706.0,0.8063237546167012,230654.0,0.5976792877206438,1,C00412759,H
WV,03,0,"Detch, Matt",H6WV03091,D,53703.0,1.0,49708.0,0.23975073794686783,0,C00603654,H
FL,11,1,"Webster, Daniel ",H0FL08208,R,52876.0,0.5981380301127815,258016.0,0.6536700792209141,1,C00481911,H
CA,16,1,"Costa, Jim",H4CA20082,D,52822.0,0.5591463866453545,97473.0,0.5803484245873919,1,C00391029,H
PA,07,0,"Balchunis, Mary Ellen",H4PA07092,D,52792.0,0.7394044651110675,153824.0,0.4051742530600634,0,C00560920,H
IN,05,0,"Demaree, Angela ",H6IN05216,D,52530.0,0.7491763766276367,123849.0,0.34294377448876456,0,C00584946,H
NJ,06,1,"Pallone, Frank, Jr.",H8NJ03073,D,52231.0,1.0,167895.0,0.6373298916241198,1,C00226928,H
GA,09,1,"Collins, Doug ",H2GA09150,R,52080.0,0.6127419259956468,256535.0,1.0,1,C00502039,H
CA,17,0,"Khanna, Ro",H4CA12055,D,52059.0,0.3907981262949284,142268.0,0.6100895399499126,1,C00503185,H
OH,10,0,"Klepinger, Robert ",H4OH10167,D,51854.0,1.0,109981.0,0.3267389973915782,0,C00565622,H
