STATE_ABBREVIATION,STATE,D,CANDIDATE_ID,INCUMBENT,CANDIDATE_NAME_(FIRST),CANDIDATE_NAME_(LAST),CANDIDATE_NAME,TOTAL_VOTES,PARTY,PRIMARY_VOTES,PRIMARY_%,RUNOFF_VOTES,RUNOFF_%,GENERAL_VOTES,GENERAL_%,GE_RUNOFF_ELECTION_VOTES_(LA),GE_RUNOFF_ELECTION_%_(LA),"COMBINED_GE_PARTY_TOTALS_(CT,_NY,_SC)","COMBINED_%_(CT,_NY,_SC)",GE_WINNER_INDICATOR,FOOTNOTES
HI,Hawaii,01,,0,,,,Party Votes:,D,92095.0,,,,,,,,,,0,
HI,Hawaii,01,,0,,,,Party Votes:,R,13645.0,,,,,,,,,,0,
HI,Hawaii,01,,0,,,,Party Votes:,LIB,446.0,,,,,,,,,,0,
HI,Hawaii,01,,0,,,,Party Votes:,N,552.0,,,,,,,,,,0,
HI,Hawaii,01,,0,,,,District Votes:,,106738.0,,,,202357.0,,,,,,0,
HI,Hawaii,02,,0,,,,Party Votes:,D,94669.0,,,,,,,,,,0,
HI,Hawaii,02,,0,,,,Party Votes:,R,13325.0,,,,,,,,,,0,
HI,Hawaii,02,,0,,,,Party Votes:,N,697.0,,,,,,,,,,0,
HI,Hawaii,02,,0,,,,District Votes:,,108691.0,,,,210516.0,,,,,,0,
HI,Hawaii,H,,0,,,,Total State Votes:,,215429.0,,,,611264.0,,,,,,0,
ID,Idaho,01,,0,,,,Party Votes:,R,63683.0,,,,,,,,,,0,
ID,Idaho,01,,0,,,,Party Votes:,D,12384.0,,,,,,,,,,0,
ID,Idaho,01,,0,,,,District Votes:,,76067.0,,,,355357.0,,,,,,0,
ID,Idaho,02,,0,,,,Party Votes:,R,64558.0,,,,,,,,,,0,
ID,Idaho,02,,0,,,,Party Votes:,D,13816.0,,,,,,,,,,0,
ID,Idaho,02,,0,,,,Party Votes:,CON,82.0,,,,,,,,,,0,
ID,Idaho,02,,0,,,,District Votes:,,78456.0,,,,326237.0,,,,,,0,
ID,Idaho,H,,0,,,,Total State Votes:,,154523.0,,,,681594.0,,,,,,0,
IL,Illinois,01,,0,,,,Party Votes:,D,179743.0,,,,,,,,,,0,
IL,Illinois,01,,0,,,,Party Votes:,R,33321.0,,,,,,,,,,0,
IL,Illinois,01,,0,,,,District Votes:,,213064.0,,,,315862.0,,,,,,0,
IL,Illinois,02,,0,,,,Party Votes:,D,156593.0,,,,,,,,,,0,
IL,Illinois,02,,0,,,,Party Votes:,R,277303.0,,,,,,,,,,0,
IL,Illinois,02,,0,,,,District Votes:,,433896.0,,,,294522.0,,,,,,0,
IL,Illinois,03,,0,,,,Party Votes:,D,107620.0,,,,,,,,,,0,
IL,Illinois,03,,0,,,,District Votes:,,107620.0,,,,225411.0,,,,,,0,
IL,Illinois,04,,0,,,,Party Votes:,D,123419.0,,,,,,,,,,0,
IL,Illinois,04,,0,,,,District Votes:,,123419.0,,,,171297.0,,,,,,0,
IL,Illinois,05,,0,,,,Party Votes:,D,127679.0,,,,,,,,,,0,
IL,Illinois,05,,0,,,,Party Votes:,GRE,271.0,,,,,,,,,,0,
IL,Illinois,05,,0,,,,District Votes:,,127950.0,,,,313724.0,,,,,,0,
IL,Illinois,06,,0,,,,Party Votes:,R,121178.0,,,,,,,,,,0,
IL,Illinois,06,,0,,,,Party Votes:,D,76128.0,,,,,,,,,,0,
IL,Illinois,06,,0,,,,District Votes:,,197306.0,,,,352146.0,,,,,,0,
IL,Illinois,07,,0,,,,Party Votes:,D,171664.0,,,,,,,,,,0,
IL,Illinois,07,,0,,,,District Votes:,R,171664.0,,,,297466.0,,,,,,0,
IL,Illinois,08,,0,,,,Party Votes:,D,78880.0,,,,,,,,,,0,
IL,Illinois,08,,0,,,,Party Votes:,R,51060.0,,,,,,,,,,0,
IL,Illinois,08,,0,,,,District Votes:,,129940.0,,,,248571.0,,,,,,0,
IL,Illinois,09,,0,,,,Party Votes:,D,134961.0,,,,,,,,,,0,
IL,Illinois,09,,0,,,,Party Votes:,R,47948.0,,,,,,,,,,0,
IL,Illinois,09,,0,,,,District Votes:,,182909.0,,,,326948.0,,,,,,0,
IL,Illinois,10,,0,,,,Party Votes:,D,94758.0,,,,,,,,,,0,
